cin,nom,prenom,age,genre,profession,region,Prime_de_assurance_en_DT,Sujets_demande,description,type_demande,Date_demande
C45612600,Nom_846,Prenom_913,42.359673765913946,Femme,Profession_53,Sidi Bouzid,767,Sujet_4,Description_7,Type_5,08/25/2023
C21385884,Nom_577,Prenom_431,35.195120889731044,Femme,Profession_92,Kasserine,924,Sujet_3,Description_13,Type_2,12/11/2023
C55084259,Nom_555,Prenom_515,51.26798075010481,Homme,Profession_96,Kasserine,805,Sujet_9,Description_5,Type_2,10/10/2023
C22123313,Nom_764,Prenom_726,41.48247901496904,Femme,Profession_20,Gabes,453,Sujet_9,Description_20,Type_1,08/02/2023
C94723091,Nom_772,Prenom_138,54.2784139918882,Femme,Profession_7,Kairouan,843,Sujet_3,Description_19,Type_5,09/26/2023
C67003819,Nom_799,Prenom_900,43.451697300963225,Femme,Profession_66,Beja,937,Sujet_1,Description_6,Type_5,06/09/2023
C91397632,Nom_205,Prenom_516,22.194888272871772,Femme,Profession_75,Gabes,325,Sujet_4,Description_2,Type_4,02/27/2023
C94314783,Nom_449,Prenom_823,27.967846496877016,Homme,Profession_96,Tataouine,805,Sujet_9,Description_13,Type_1,12/19/2023
C59402462,Nom_577,Prenom_881,32.286463428331224,Homme,Profession_34,Siliana,441,Sujet_10,Description_8,Type_3,06/27/2023
C49851988,Nom_472,Prenom_176,36.22589858596497,Homme,Profession_17,Kebili,798,Sujet_4,Description_6,Type_5,11/14/2023
C60735049,Nom_656,Prenom_190,46.566853269207755,Homme,Profession_99,Kebili,299,Sujet_6,Description_7,Type_5,02/25/2023
C96096476,Nom_102,Prenom_728,25.075451856723305,Femme,Profession_79,Beja,583,Sujet_9,Description_10,Type_1,12/05/2023
C49431700,Nom_392,Prenom_337,29.818090668863853,Homme,Profession_63,Tunis,408,Sujet_10,Description_3,Type_2,07/23/2023
C65564681,Nom_237,Prenom_752,31.824752454355323,Homme,Profession_66,Gafsa,293,Sujet_9,Description_9,Type_2,04/17/2023
C31841794,Nom_96,Prenom_749,28.854612531280523,Homme,Profession_16,Tataouine,289,Sujet_6,Description_19,Type_3,05/24/2023
C28946026,Nom_988,Prenom_512,42.12563423976642,Homme,Profession_79,Kasserine,117,Sujet_10,Description_1,Type_3,08/12/2023
C93205205,Nom_607,Prenom_323,38.30241172714155,Homme,Profession_13,Le Kef,332,Sujet_7,Description_18,Type_1,01/21/2023
C34988892,Nom_545,Prenom_232,27.57855289586506,Femme,Profession_93,Gabes,953,Sujet_1,Description_6,Type_1,12/23/2023
C40525586,Nom_220,Prenom_841,67.26947166725776,Homme,Profession_26,La Manouba,692,Sujet_10,Description_11,Type_3,04/04/2023
C70038159,Nom_878,Prenom_672,45.34059687846289,Femme,Profession_40,Medenine,629,Sujet_8,Description_8,Type_5,09/01/2023
C36302268,Nom_462,Prenom_823,41.203875648953996,Femme,Profession_22,Nabeul,305,Sujet_1,Description_8,Type_4,01/08/2023
C91657844,Nom_996,Prenom_371,52.75589181525793,Homme,Profession_74,Medenine,602,Sujet_9,Description_2,Type_4,04/07/2023
C47541144,Nom_605,Prenom_891,47.29262948911166,Homme,Profession_76,Sousse,899,Sujet_5,Description_9,Type_1,03/18/2023
C84592319,Nom_442,Prenom_906,41.19035351854749,Homme,Profession_55,Kairouan,593,Sujet_1,Description_3,Type_4,06/25/2023
C91335666,Nom_514,Prenom_787,53.11437697928335,Homme,Profession_44,Jendouba,854,Sujet_4,Description_3,Type_2,09/05/2023
C47334490,Nom_644,Prenom_55,5.4656913500796875,Femme,Profession_53,Beja,434,Sujet_4,Description_18,Type_1,05/06/2023
C50891024,Nom_494,Prenom_217,47.564395032803915,Femme,Profession_34,Sousse,259,Sujet_7,Description_10,Type_2,10/27/2023
C78862925,Nom_740,Prenom_168,42.34910397413813,Homme,Profession_11,Gafsa,149,Sujet_5,Description_5,Type_4,09/23/2023
C84271351,Nom_331,Prenom_581,29.643368313779405,Femme,Profession_14,Bizerte,793,Sujet_10,Description_4,Type_4,02/10/2023
C94759961,Nom_555,Prenom_611,46.062172633425405,Homme,Profession_95,Mahdia,325,Sujet_10,Description_2,Type_3,12/27/2023
C65150331,Nom_729,Prenom_781,17.106372941552646,Femme,Profession_80,Tataouine,727,Sujet_2,Description_18,Type_4,09/02/2023
C99315971,Nom_679,Prenom_885,49.13964629131503,Homme,Profession_33,Jendouba,963,Sujet_5,Description_10,Type_2,10/01/2023
C22313786,Nom_464,Prenom_370,47.84285756881894,Homme,Profession_30,Gafsa,231,Sujet_6,Description_8,Type_4,09/12/2023
C55552961,Nom_439,Prenom_518,37.83341412944176,Femme,Profession_80,Medenine,911,Sujet_3,Description_6,Type_1,06/14/2023
C48234523,Nom_195,Prenom_260,36.30567436249316,Femme,Profession_69,Sidi Bouzid,215,Sujet_3,Description_17,Type_2,02/05/2023
C57040513,Nom_722,Prenom_515,43.541993754034436,Homme,Profession_80,Mahdia,871,Sujet_9,Description_10,Type_1,07/23/2023
C27483385,Nom_998,Prenom_934,37.46342765922471,Femme,Profession_38,Gabes,716,Sujet_1,Description_9,Type_2,07/15/2023
C10049810,Nom_761,Prenom_210,24.20329871339129,Femme,Profession_70,Beja,532,Sujet_8,Description_7,Type_4,12/07/2023
C78459125,Nom_559,Prenom_656,33.979280563194635,Femme,Profession_28,Monastir,541,Sujet_5,Description_2,Type_1,03/22/2023
C19880708,Nom_765,Prenom_489,30.113993502407364,Femme,Profession_89,Tunis,926,Sujet_8,Description_3,Type_5,08/05/2023
C57979017,Nom_536,Prenom_585,47.71927854668039,Femme,Profession_51,Gabes,385,Sujet_4,Description_5,Type_4,10/01/2023
C26022417,Nom_523,Prenom_578,43.953305813766136,Femme,Profession_87,Monastir,606,Sujet_9,Description_4,Type_5,02/24/2023
C27707510,Nom_874,Prenom_989,44.17515202195541,Homme,Profession_15,Tunis,852,Sujet_2,Description_1,Type_1,02/22/2023
C70389876,Nom_126,Prenom_133,52.484997204847915,Femme,Profession_65,Gafsa,383,Sujet_2,Description_11,Type_3,04/25/2023
C69440816,Nom_178,Prenom_913,46.250941849642544,Homme,Profession_5,La Manouba,146,Sujet_8,Description_12,Type_4,05/02/2023
C66121477,Nom_698,Prenom_582,26.67094063305312,Homme,Profession_84,Medenine,744,Sujet_4,Description_2,Type_2,09/23/2023
C12240235,Nom_481,Prenom_298,30.714560825470155,Homme,Profession_78,Ben Arous,775,Sujet_6,Description_5,Type_3,08/02/2023
C63782648,Nom_393,Prenom_136,28.032247909450213,Femme,Profession_48,Sfax,795,Sujet_9,Description_7,Type_4,01/09/2023
C40176088,Nom_153,Prenom_431,41.312726632465974,Homme,Profession_7,Gafsa,723,Sujet_3,Description_12,Type_4,02/25/2023
C67071552,Nom_195,Prenom_292,24.818055644767995,Femme,Profession_2,Medenine,131,Sujet_5,Description_15,Type_1,11/17/2023
C13022484,Nom_750,Prenom_342,40.97625220251362,Homme,Profession_88,Sidi Bouzid,804,Sujet_10,Description_5,Type_4,07/17/2023
C16127764,Nom_536,Prenom_780,33.3015408996694,Femme,Profession_6,Kasserine,156,Sujet_2,Description_3,Type_3,03/21/2023
C70516673,Nom_425,Prenom_484,45.278165606720954,Homme,Profession_36,Mahdia,276,Sujet_5,Description_15,Type_1,10/26/2023
C55590093,Nom_860,Prenom_856,40.00553744905976,Femme,Profession_27,Nabeul,257,Sujet_10,Description_3,Type_1,03/27/2023
